,Arnica alpina,Cassiope tetragona,Cerastium alpinum,Draba sp1 M_PL_020,Dryas integrifolia,Erigeron compositus,Erigeron eriocephalus,Erysimum pallasii,Lesquerella arctica,Papaver radicatum,Pedicularis arctica,Pedicularis capitata,Polygonum viviparum,Potentilla nivea,Ranunculus sulphureus,Salix arctica,Saxifraga hirculus,Saxifraga oppositifolia,Stellaria longipes,Taraxacum arctogenum
Plebius aquilo,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
Pogonomyoides segnis,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Rhamphomyia hoeli,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Rhamphomyia sp2 M_PL_020,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Spilogona dorsata,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spilogona sanctipauli,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Unidentified sp1 M_PL_020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Unidentified sp2 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Unidentified sp3 M_PL_020,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Acarina sp1 M_PL_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Aedes impiger,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Aedes nigripes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Allopiophila fulviceps,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Apanteles sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Arctoseius cetratus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Atractodes sp1 M_PL_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,
Cecidophyes sp1 M_PL_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Ceratopogon sp2 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Chalcidae sp1 M_PL_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Corynoneura scutellata,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,
Cricotopus sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Cryptus arcticus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Culicoides sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dolichopus dasyops,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,
Entomobrya comparata,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
Erigone pyschrophila,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Forcipomyia sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Helophilus borealis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Ichneumonidae sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Lasiopiophila pilosa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Microspectra sp1 M_PL_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Microspectra sp2 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Oresbius sp1 M_PL_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Orthocladiinae sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Pardosa glacialis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Pectinarctica stylata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Pegomyia sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Phormia terraenovae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Phytomyza erigerontophaga,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Procladius sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Psectrocladius sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Rhamphomyia ursinella,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Saotis sp1 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Scatophaga multisetosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Scatophaga sp1 M_PL_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Spilogona denudata,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spilogona extensa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spilogona melanosoma,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spilogona obsoleta,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spilogona tornensis,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Spilogona tundrae,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sympistris labradoris,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Tarentula exasperans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Tipula arctica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,
Tridymus sp1 M_PL_020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Unidentified sp4 M_PL_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp5 M_PL_020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
