,alstroemeria_aurea,aristotelia_chilensis,berberis_buxifolia,berberis_darwinii,calceolaria_crenatiflora,diplolepis_diemii,digitalis_purpurea,gavilea_odoratissima,mutisia_decurrens,ribes_magellanicum,rosa_rubiginosa,schinus_patagonicus,tristerix_corymbosus,vicia_nigricans,
Ruizantheda proxima,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp13 M_PL_051,0,0,0,0,0,1,0,0,0,1,0,1,0,0,
Unidentified sp14 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Platycherius fenestratus,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Scaeva melanostoma,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp15 M_PL_051,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Unidentified sp16 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp17 M_PL_051,0,0,0,1,0,0,0,0,0,0,0,0,0,0,
Unidentified sp18 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp19 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp20 M_PL_051,0,1,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp21 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Chilicola sp2 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp22 M_PL_051,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
Unidentified sp23 M_PL_051,0,0,0,0,0,0,0,0,1,0,0,1,0,0,
Unidentified sp24 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp25 M_PL_051,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Unidentified sp26 M_PL_051,1,0,0,0,0,0,0,0,0,0,1,0,0,0,
Unidentified sp27 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp28 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp29 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Allograpta exotica,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Caenohalictus sp2 M_PL_051,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Chilicola sp3 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Corynura sp1 M_PL_051,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Unidentified sp30 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp31 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp32 M_PL_051,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Unidentified sp33 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp34 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp35 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp36 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp37 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp38 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp39 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp40 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp41 M_PL_051,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Unidentified sp42 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp43 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp44 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp45 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp46 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp47 M_PL_051,0,0,0,0,0,0,0,0,0,0,1,0,0,0,
Unidentified sp48 M_PL_051,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
Unidentified sp49 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp50 M_PL_051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Unidentified sp51 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
Unidentified sp52 M_PL_051,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
